model,config_id,training_seed,train_domain,test_domain,setting,test_rows,accuracy,precision,recall,f1,macro_f1,balanced_accuracy,mcc,roc_auc,pr_auc,predicted_spam_rate,brier_score,log_loss,ece,tn,fp,fn,tp,support,ham_support,spam_support,epochs_trained,training_seconds,vocabulary_size,parameters,kernel_size,dropout,learning_rate,sequence_length,source_notebook
TextCNN,kernel_3,13,enron,sms,cross-domain,774,0.35658914728682173,0.1558219178082192,0.9479166666666666,0.2676470588235294,0.3469571699647601,0.61038901179941,0.16909200766929755,0.7512137413962636,0.3372754105157463,0.7545219638242894,0.5732863238661625,3.200527892586672,0.6187655431172308,185,493,5,91,774,678,96,5,25.522565310999994,30000,3897601,3,0.4,0.001,256,https://www.kaggle.com/code/kaloyanbozukov/notebook3
TextCNN,kernel_3,13,enron,enron,in-domain,1981,0.9904088844018173,0.9899396378269618,0.9909365558912386,0.9904378459989934,0.9904087964172182,0.9904075492006801,0.9808180975928581,0.9997533340672156,0.9997524405774857,0.5017667844522968,0.005902260477831243,0.020123460606101387,0.0017848201421296478,978,10,9,984,1981,988,993,5,25.522565310999994,30000,3897601,3,0.4,0.001,256,https://www.kaggle.com/code/kaloyanbozukov/notebook3
TextCNN,kernel_3,42,enron,sms,cross-domain,774,0.3785529715762274,0.1616871704745167,0.9583333333333334,0.27669172932330827,0.36597893374432683,0.6273967551622419,0.19032934889390316,0.8038501720747295,0.4164719073332449,0.7351421188630491,0.546040572232597,2.4609124596280676,0.5993511950125564,201,477,4,92,774,678,96,4,20.905081535000022,30000,3897601,3,0.4,0.001,256,https://www.kaggle.com/code/kaloyanbozukov/notebook3
TextCNN,kernel_3,42,enron,enron,in-domain,1981,0.9919232710752145,0.9909547738693467,0.9929506545820745,0.9919517102615694,0.9919231702270359,0.9919206714205919,0.9838483625898571,0.9996289818201092,0.9996213293955449,0.5022715800100959,0.005930443856381934,0.02279956009118943,0.0024276636027179064,979,9,7,986,1981,988,993,4,20.905081535000022,30000,3897601,3,0.4,0.001,256,https://www.kaggle.com/code/kaloyanbozukov/notebook3
TextCNN,kernel_3,73,enron,sms,cross-domain,774,0.3850129198966408,0.15949820788530467,0.9270833333333334,0.27217125382262997,0.36986638753771317,0.6176714601769911,0.1729448470888729,0.7847068584070795,0.39235778999092547,0.7209302325581395,0.5448699204418344,2.559759244457346,0.5918208741518179,209,469,7,89,774,678,96,4,20.97494050599994,30000,3897601,3,0.4,0.001,256,https://www.kaggle.com/code/kaloyanbozukov/notebook3
TextCNN,kernel_3,73,enron,enron,in-domain,1981,0.9909136799596163,0.9899497487437185,0.9919436052366566,0.9909456740442656,0.9909135665054154,0.9909110738733891,0.9818291530884108,0.9997625075936413,0.9997657585890766,0.5022715800100959,0.0062108958906822295,0.02094230244948229,0.002162772941170293,978,10,8,985,1981,988,993,4,20.97494050599994,30000,3897601,3,0.4,0.001,256,https://www.kaggle.com/code/kaloyanbozukov/notebook3
TextCNN,kernel_3,101,enron,sms,cross-domain,774,0.3488372093023256,0.15656565656565657,0.96875,0.26956521739130435,0.3410763149893585,0.6149059734513275,0.17930549137826682,0.7738676868239922,0.3282891638882369,0.7674418604651163,0.592575957264484,3.418246265987629,0.6373831530179564,177,501,3,93,774,678,96,5,26.117551616000014,30000,3897601,3,0.4,0.001,256,https://www.kaggle.com/code/kaloyanbozukov/notebook3
TextCNN,kernel_3,101,enron,enron,in-domain,1981,0.9914184755174155,0.9919354838709677,0.9909365558912386,0.9914357682619648,0.9914184405295661,0.9914196949496679,0.9828373863269922,0.9996860615400924,0.9996852350981922,0.5007571933366987,0.006653840246841842,0.02369921434226602,0.0028919110022626953,980,8,9,984,1981,988,993,5,26.117551616000014,30000,3897601,3,0.4,0.001,256,https://www.kaggle.com/code/kaloyanbozukov/notebook3
TextCNN,kernel_3,137,enron,sms,cross-domain,774,0.3695090439276486,0.1597222222222222,0.9583333333333334,0.27380952380952384,0.3583659491193738,0.6222345132743363,0.1846845092901755,0.7767099926253687,0.34836808955424325,0.7441860465116279,0.5579817610806691,2.8115811615250346,0.6064348112001874,194,484,4,92,774,678,96,4,21.34368363200008,30000,3897601,3,0.4,0.001,256,https://www.kaggle.com/code/kaloyanbozukov/notebook3
TextCNN,kernel_3,137,enron,enron,in-domain,1981,0.9949520444220091,0.9969666329625885,0.9929506545820745,0.9949545913218971,0.994952043135696,0.9949571086675555,0.9899121993403412,0.9998725899107518,0.9998749886214715,0.49924280666330134,0.004583112115491968,0.016202718357149187,0.0027715643433165412,985,3,7,986,1981,988,993,4,21.34368363200008,30000,3897601,3,0.4,0.001,256,https://www.kaggle.com/code/kaloyanbozukov/notebook3
